text,label,source
Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.,0,liar_en
Congressman Nye voted against a bill which would have defunded the $5-10 billion the IRS needed toimplement health care legislation.,2,liar_en
When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.,1,liar_en
Says Texas has the 15th largest economy in the world.,0,liar_en
"Says the Patient Protection and Affordable Care Act adopted last year contains a series of slush funds, set up to stay on the books automatically, with little or no oversight.",2,liar_en
Sheldon Whitehouse voted for a $525-billion tax increase on the middle class.,2,liar_en
Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.,0,liar_en
Drinking champagne could help prevent Alzheimers and other forms of dementia.,2,liar_en
Two-thirds of the people who receive the minimum wage are female.,0,liar_en
"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than $2 billion.",0,liar_en
Obama-Nelson economic record: Job creation ... at slowest post-recession rate since Great Depression.,0,liar_en
Sherrod Browns approval rating has plummeted to 38 percent among Ohio voters in a poll by a Democratic pollster.,0,liar_en
"Rather than work to secure the border, (Marco Rubio) supported Obamas amnesty plan for illegal immigrants.",1,liar_en
"Louisiana is turning down $100 million ""that would require us to change our unemployment law, that would have actually raised taxes on Louisiana businesses.""",0,liar_en
"The Democrats' health care bills would provide ""free health care for illegal immigrants.""",2,liar_en
The folks in Washington are already forcing you to buy government health care.,1,liar_en
"Barack Obama's plan calls for ""mandates and fines for small businesses.""",2,liar_en
Debt has almost doubled in Austin under Gov. Perry.,0,liar_en
"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",1,liar_en
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",0,liar_en
"Every day in the United States, we are losing 15 factories.",0,liar_en
Harry Reid says he does more for Nevada. Hes done more for unemployment. We were at 4.4 percent. Now were at 14 percent. Hes done more for the foreclosure rate. We have the highest foreclosure rate in the nation. Hes done more for bankruptcy. We have the highest bankruptcy rate in the nation.,1,liar_en
