id,text,author,likes,reposts,query,label,source
at://did:plc:svxn6sac4ljpihj22co2ozdj/app.bsky.feed.post/3mkplq24rok24,"Coup de mou chez les soutiens de Villepin après les révélations de Complément d’enquête sur ses cadeaux africains. « C’est fini pour lui », soupire un élu qui faisait une campagne discrète pour Galouzeau en vue de 2027. Ce dernier crie au « complot » en visant le clan Sarkozy…. #Off",nilswilcke.bsky.social,13,4,complot,,bluesky_real
at://did:plc:khxqcmhq4qojtzleqovtvnxn/app.bsky.feed.post/3mkpjh7urvk2x,Wist je dat de grote natuurbrand op de Veluwe een complot is van het WEF om 15 minute city’s door te drukken?,dietukkerfries.bsky.social,7,0,complot,,bluesky_real
at://did:plc:udtyirn3eiepwewrbfulhx7c/app.bsky.feed.post/3mkpifijxpk2p,"La ""pédophilie ordinaire"", sans vaste complot, sans médias internationaux pour en parler, sans ""étranger""...

www.lemonde.fr/societe/article/2026/04/29/dans-le-village-de-lucenay-les-viols-filmes-d-un-pere-de-famille-aux-34-victimes-agees-de-3-a-9-ans_6684304_3224.html",postmonetaire.bsky.social,0,0,complot,,bluesky_real
at://did:plc:7xouhugeinr6g4tdmi5d6axe/app.bsky.feed.post/3mkphvdaaxk2h,"Avant de chercher le complot, demandez-vous plutôt pourquoi un ministre accepterait un cadeau alors que ceux-ci doivent être impérativement déclarés et remis au mobilier national…

Quand j’étais chef de projet en Chine, on m’a fait un cadeau (à la fin du projet) d’une valeur d’environ 500€...",xiongmao100.bsky.social,0,0,complot,,bluesky_real
at://did:plc:t4wnsbfibuejgxod4awclbxq/app.bsky.feed.post/3mkpg7hxdbc2t,Se creen que hay un complot de borrado lésbico detrás de estos fan arts y no que simplemente les ha parecido interesante dibujarla en vestido igual que mucha gente dibuja a Caitlyn en traje y no se monta el mismo pollo 😭,badwolf48f.bsky.social,1,0,complot,,bluesky_real
at://did:plc:mqhe6vldpblymgev5lugfkcz/app.bsky.feed.post/3mkp4tjlujq2v,"📰 SOURCE : BBC Europe
📌 Madagascar arrête un ressortissant français pour complot présumé visant à attiser les troubles

📅 Parution (Flux) : Wed, 29 Apr 2026 17:03:16 GMT
🌍 Parution (Paris) : 30/04/2026 à 09h48mn56s
📤 Transfert vers Telegram : 30/04/2026 à 09h48mn56s

Les procureurs",ivaninfos.bsky.social,0,0,complot,,bluesky_real
at://did:plc:ks5blbkee4xkrdvxzq2rta35/app.bsky.feed.post/3mkovpd6woy2g,"📸 Un complot effrayant? Vérifiez-le vous-même en consultant le rapport original.

#revelation #verite #complot #awake #insolite
",fraish00x.bsky.social,0,0,complot,,bluesky_real
at://did:plc:ks5blbkee4xkrdvxzq2rta35/app.bsky.feed.post/3mkotojkn6f2a,"📸 Un complot effrayant? Vérifiez-le vous-même en consultant le rapport original.

#revelation #verite #complot #awake #insolite
",fraish00x.bsky.social,0,0,complot,,bluesky_real
at://did:plc:ks5blbkee4xkrdvxzq2rta35/app.bsky.feed.post/3mkoomzxc6s27,"📸 Quand la santé devient une affaire de milliards… Vérifiez par vous-même. 💊

#revelation #verite #complot #awake #insolite",fraish00x.bsky.social,0,0,complot,,bluesky_real
at://did:plc:nyu5atwhevkymja4aam2fbyj/app.bsky.feed.post/3mko65ej3qs2x,"L'acharnement de @lexpress.fr et de son ""journaliste science"" contre les patients est d'autant plus grave que les ""experts"" promus vantent des pratiques dangereuses pour la santé des patients (rééducation à l'effort ou du cerveau) voire à dérives sectaires (TCC, méditation pleine conscience),
12",themis2023.bsky.social,9,2,complot,,bluesky_real
