text,label,source
La 5G active les nanoparticules des vaccins COVID ! Réveillez-vous !,2,synthetic_fr
Le WEF planifie de pucer toute l'humanité d'ici 2025 !,2,synthetic_fr
Les chemtrails contiennent du poison pour réduire la population !,2,synthetic_fr
QAnon avait raison : les arrestations commencent demain !,2,synthetic_fr
Les vaccins ARN modifient votre ADN définitivement !,2,synthetic_fr
"La 5G cause le cancer du cerveau, c'est prouvé !",2,synthetic_fr
Le WEF veut interdire la propriété privée partout !,2,synthetic_fr
Les chemtrails servent à nous rendre stériles !,2,synthetic_fr
Q vient de confirmer : la tempête arrive enfin !,2,synthetic_fr
Les vaccins contiennent des puces de traçage Microsoft !,2,synthetic_fr
La 5G contrôle vos pensées via les ondes !,2,synthetic_fr
Klaus Schwab veut éliminer 90% de l'humanité !,2,synthetic_fr
Les avions répandent des métaux lourds chaque jour !,2,synthetic_fr
JFK Jr est vivant et revient bientôt selon Q !,2,synthetic_fr
"Les vaccinés meurent dans les 2 ans, c'est prévu !",2,synthetic_fr
La 5G a créé le COVID-19 à Wuhan !,2,synthetic_fr
Le WEF contrôle tous les gouvernements mondiaux !,2,synthetic_fr
Les chemtrails causent Alzheimer et autisme !,2,synthetic_fr
QAnon : les élites pédophiles seront jugées !,2,synthetic_fr
"Les vaccins rendent magnétique, testez vous-même !",2,synthetic_fr
Antennes 5G = armes militaires déguisées !,2,synthetic_fr
Davos décide qui vit et qui meurt !,2,synthetic_fr
Les chemtrails bloquent le soleil volontairement !,2,synthetic_fr
Q a tout prédit : faites vos recherches !,2,synthetic_fr
Big Pharma cache les morts des vaccins !,2,synthetic_fr
La 5G tue les oiseaux par milliers !,2,synthetic_fr
Le WEF veut nous faire manger des insectes !,2,synthetic_fr
Les pilotes confirment les chemtrails en secret !,2,synthetic_fr
Trump travaille avec Q pour sauver les enfants !,2,synthetic_fr
Les non-vaccinés seront les seuls survivants !,2,synthetic_fr
La 5G déclenche les épidémies mondiales !,2,synthetic_fr
Schwab a écrit le plan de dépopulation !,2,synthetic_fr
Les chemtrails contiennent du graphène !,2,synthetic_fr
QAnon : l'État profond sera détruit bientôt !,2,synthetic_fr
Les vaccins causent la mort subite massive !,2,synthetic_fr
Éteignez la 5G ou mourrez dans 5 ans !,2,synthetic_fr
Le WEF prépare la dictature mondiale totale !,2,synthetic_fr
Les chemtrails expliquent tous les cancers !,2,synthetic_fr
Q : La vérité choquera le monde entier !,2,synthetic_fr
Les vaccinés transmettent des protéines mortelles !,2,synthetic_fr
La 5G active les nanoparticules dans les vaccins COVID confirmé par un lanceur d'alerte,2,synthetic_fr
Le WEF prévoit de remplacer 80% des humains par des IA d'ici 2030 document fuité,2,synthetic_fr
Les chemtrails contiennent du graphène pour contrôler nos pensées preuve vidéo,2,synthetic_fr
QAnon avait raison : arrestations massives prévues ce week-end sources militaires,2,synthetic_fr
Vaccin COVID modifie l'ADN en 48h étude censurée le prouve,2,synthetic_fr
La 5G tue les oiseaux par milliers : 200 000 morts en Europe cette année,2,synthetic_fr
WEF admet vouloir pucer tous les nouveaux-nés dès 2025,2,synthetic_fr
Chemtrails pulvérisent des virus pour justifier les vaccins obligatoires,2,synthetic_fr
Q confirme : l'opération finale commence dans 72 heures restez vigilants,2,synthetic_fr
Les tours 5G émettent des fréquences qui rendent stérile étude choc,2,synthetic_fr
Vaccins contiennent des parasites vivants vu au microscope par 40 médecins,2,synthetic_fr
Le WEF contrôle tous les gouvernements liste des infiltrés révélée,2,synthetic_fr
Pilotes dénoncent : les chemtrails sont réels et toxiques témoignages vidéo,2,synthetic_fr
QAnon dévoile les vrais noms des élites pédocriminelles liste complète,2,synthetic_fr
Désactiver la 5G avec du papier alu : l'astuce qui marche vraiment,2,synthetic_fr
80% des vaccinés mourront dans les 5 ans selon un expert indépendant,2,synthetic_fr
WEF : vous ne posséderez rien et vous serez heureux plan secret dévoilé,2,synthetic_fr
Chemtrails : métaux lourds trouvés dans 90% des analyses d'eau de pluie,2,synthetic_fr
Q a prédit tout ça : relisez les messages 2017 tout y est,2,synthetic_fr
La 5G ouvre un portail dimensionnel scientifiques alarmés,2,synthetic_fr
Vaccin Pfizer contient un brevet pour traquer les humains code trouvé,2,synthetic_fr
Le WEF veut interdire la viande et nous faire manger des insectes,2,synthetic_fr
Chemtrails causent Alzheimer et autisme corrélation de 90%,2,synthetic_fr
QAnon : Trump reprend le pouvoir le mois prochain source fiable,2,synthetic_fr
Antennes 5G camouflées en arbres pour nous irradier en secret,2,synthetic_fr
Effets secondaires vaccins : 2 millions de morts cachés par les médias,2,synthetic_fr
WEF planifie une cyberattaque mondiale pour instaurer la dictature,2,synthetic_fr
Chemtrails contiennent des nanorobots analyse laboratoire indépendant,2,synthetic_fr
Q : les arrestations ont déjà commencé en coulisses infos exclusives,2,synthetic_fr
Syndrome 5G : maux de tête vertiges fatigue 10 millions de cas,2,synthetic_fr
Vaccinés deviennent magnétiques : des milliers de témoignages vidéos,2,synthetic_fr
Le WEF veut réduire la population mondiale de 90% avant 2050,2,synthetic_fr
Chemtrails modifient la météo pour créer des catastrophes climatiques,2,synthetic_fr
QAnon révèle : Joe Biden est un clone l'original est mort en 2019,2,synthetic_fr
La 5G permet de télécharger des pensées directement dans le cerveau,2,synthetic_fr
Vaccins COVID : stérilisation de masse confirmée taux de natalité en chute,2,synthetic_fr
WEF admet : la pandémie était planifiée vidéo de Schwab supprimée,2,synthetic_fr
Chemtrails : programme secret de dépopulation documents déclassifiés,2,synthetic_fr
Q prépare le grand réveil : la vérité éclatera bientôt tenez bon,2,synthetic_fr
5G + vaccin = contrôle mental total : l'équation qu'ils nous cachent,2,synthetic_fr
La 5G active les nanoparticules des vaccins pour contrôler nos pensées #Réveillez-vous,2,synthetic_fr
Le WEF prévoit de réduire la population de 90% d'ici 2030 #Agenda2030,2,synthetic_fr
Les chemtrails contiennent de l'aluminium pour nous rendre dociles #VéritéCachée,2,synthetic_fr
Q vient de confirmer : les arrestations massives commencent demain #QAnon,2,synthetic_fr
Les vaccins COVID modifient votre ADN définitivement #RefusezLeVaccin,2,synthetic_fr
"La 5G cause le coronavirus, c'est prouvé par des scientifiques #5GTueuse",2,synthetic_fr
Le WEF veut nous forcer à manger des insectes #StopWEF,2,synthetic_fr
Les pilotes confirment : les chemtrails sont réels #Manipulation,2,synthetic_fr
JFK Jr est vivant et travaille avec Q #LaVéritéÉclate,2,synthetic_fr
Les vaccins contiennent des puces Microsoft #BillGates,2,synthetic_fr
Antennes 5G = armes militaires déguisées #DangersRéels,2,synthetic_fr
Le WEF contrôle tous les gouvernements mondiaux #NouvelOrdre,2,synthetic_fr
Chemtrails : programme secret de contrôle climatique #GéoIngénierie,2,synthetic_fr
"Q : la tempête arrive, préparez-vous #TheStorm",2,synthetic_fr
Magnétisme post-vaccinal confirmé par des médecins #Preuve,2,synthetic_fr
La 5G déclenche des crises cardiaques subites #Attention,2,synthetic_fr
Klaus Schwab veut implanter des puces à tous #WEFexposé,2,synthetic_fr
Les chemtrails provoquent Alzheimer et autisme #EmpoisonnementMassif,2,synthetic_fr
Q annonce : les élites pédophiles seront jugées #Justice,2,synthetic_fr
Vaccins : stérilisation massive planifiée #Dépopulation,2,synthetic_fr
Tours 5G installées pendant le confinement #Coïncidence,2,synthetic_fr
Le WEF organise la Grande Réinitialisation #Résistance,2,synthetic_fr
Pilote dénonce : j'ai répandu des chemtrails pendant 10 ans #Aveu,2,synthetic_fr
