text,label,subject
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",0,"health-care,taxes"
The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,0,health-care
Just 400 Americans -- 400 -- have more wealth than half of all Americans combined.,0,"economy,poverty,state-budget"
Says Republicans supported legislation on early voting and in-person voting in 2005.,0,"elections,government-regulation,voting-record"
"In Massachusetts, Scott Browns Republican affiliation is not a secret, but clearly not on display.",0,"candidates-biography,elections,pundits"
Theyve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented.,0,health-care
"91 percent of Latinos support the DREAM Act, which allows undocumented youth to attend college, but Marco Rubio opposes it.",0,"education,immigration,message-machine-2012"
"After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.",0,"elections,job-accomplishments,polls"
Says the 3C Corridor train would have taken an hour and 15 minutes longer to carry passengers across Ohio than it would have taken on a New York Central train in 1935.,0,"economy,jobs,stimulus,transportation"
Health insurance companies' costs are only 4 percent of all health care spending.,0,health-care
Ohios electricity rates are 10 percent below the national average.,0,"economy,elections,energy"
Says the tax code is effectively subsidizing the marketing efforts of fast food and junk food companies by as much as $19 billion over 10 years.,0,"children,health-care,public-health,taxes"
"The Interior Department has only 30 days to review an exploration plan submitted by an oil company. That leaves no time for the appropriate environmental review. The result is, they are continually waived.",0,"energy,environment,oil-spill"
A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.,0,"economy,foreign-policy,history,trade"
"Between the year 2000 and 2006, (insurance) premiums in this country doubled.",0,health-care
"Says by reducing chronic health care costs in the State of Georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.",0,"economy,health-care"
Today New Mexico (has) the sixth-fastest growing economy.,0,economy
"More than 70,000 job openings are listed on a state jobs website.",0,"economy,jobs,workers"
"In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan.",0,health-care
I built that border fence in San Diego...and it reduced the smuggling of people and drugs...by 90 percent.,0,immigration
"Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate.",0,health-care
The mayor said 'if you happen to be in this country in an undocumented status . . . then we welcome you here. We want you here. We'll protect you here.' ,0,immigration
"The state Legislature attempted to ""outlaw stem cell research, passes bills about microchips in the brain, and talks about seceding from the Union.""",0,"message-machine,science,states"
"In 2006, Charlie Crist opposed in-state tuition for illegal immigrants.",0,"education,immigration"
"Says Republican U.S. Senate candidate Ted Cruz opposes the DREAM Act, which is supported by 85% of Latinos.",0,immigration
"If you rent a U-Haul to move your company, it costs twice as much to go from San Francisco to Austin than the other way around, because you cant find enough trucks to flee the Golden State.",0,"economy,states,tourism,transportation"
"The day President Obama took office, gasoline was $1.79 a gallon.",0,"economy,energy,gas-prices"
One-third of all bank tellers (are) on public assistance.,0,"economy,financial-regulation,poverty,workers"
"During three and a half years of campaigning, Lamar Smith has never once appeared at a moderated debate to defend his positions on the issues.",0,elections
"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",0,"health-care,medicaid,state-budget"
There is more oil produced at home than we buy from the rest of the world the first time thats happened in nearly 20 years.,0,"economy,energy,trade"
Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.,0,"economy,government-efficiency,government-regulation,market-regulation,small-business"
"The Senate health care bill ""would leave 24 million people without insurance coverage.""",0,health-care
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,0,"elections,states"
"The Affordable Care Act is a major reason why weve seen 50,000 fewer preventable patient deaths in hospitals.",0,"health-care,public-health"
"We have lost 600,000 jobs over the period of the last 10 years. Only Michigan and California have done worse.",0,"economy,jobs"
Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.,0,health-care
"Says the federal health care law upheld by the Supreme Court has improved or saved the lives of more than 4,000 Texans otherwise prevented from obtaining health coverage due to pre-existing conditions.",0,health-care
The highest economic growth decade was the 1960s. Income tax rates were 90 percent.,0,"economy,taxes"
"When people enter the service, theres not a mental health evaluation.",0,"health-care,military"
Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,0,elections
Ohio currently ranks 50th out of all states in income growth.,0,"economy,income"
Swaziland has the highest rate of HIV infection in the world.,0,public-health
